Frequency (Hz)	Level (dB)
10.766602	-63.491791
21.533203	-79.469688
32.299805	-74.023956
43.066406	-68.825790
53.833008	-66.558784
64.599609	-67.643684
75.366211	-64.280205
86.132812	-63.831535
96.899414	-66.883873
107.666016	-69.072975
118.432617	-71.078125
129.199219	-71.867729
139.965820	-70.573502
150.732422	-68.759743
161.499023	-65.273643
172.265625	-65.996941
183.032227	-62.984188
193.798828	-60.447605
204.565430	-57.318638
215.332031	-56.879704
226.098633	-51.170719
236.865234	-40.003906
247.631836	-34.450169
258.398438	-36.917797
269.165039	-35.518692
279.931641	-31.699915
290.698242	-35.857765
301.464844	-47.179874
312.231445	-45.869980
322.998047	-32.250294
333.764648	-29.324560
344.531250	-35.213711
355.297852	-49.541943
366.064453	-59.578251
376.831055	-64.717911
387.597656	-60.935387
398.364258	-48.677879
409.130859	-36.907806
419.897461	-33.547604
430.664062	-38.089779
441.430664	-49.493664
452.197266	-62.362419
462.963867	-63.107357
473.730469	-54.963322
484.497070	-40.621941
495.263672	-35.094830
506.030273	-38.178780
516.796875	-48.280357
527.563477	-57.472282
538.330078	-50.445381
549.096680	-40.264404
559.863281	-37.791573
570.629883	-41.131805
581.396484	-49.329441
592.163086	-57.735569
602.929688	-64.108124
613.696289	-69.353653
624.462891	-66.338943
635.229492	-55.713982
645.996094	-44.314095
656.762695	-38.195908
667.529297	-36.779453
678.295898	-39.322330
689.062500	-46.200577
699.829102	-57.187191
710.595703	-64.984879
721.362305	-68.230637
732.128906	-69.765800
742.895508	-70.864906
753.662109	-69.463799
764.428711	-67.260117
775.195312	-66.773926
785.961914	-63.960548
796.728516	-60.117809
807.495117	-52.006779
818.261719	-40.492226
829.028320	-35.494686
839.794922	-37.420795
850.561523	-39.943218
861.328125	-43.721275
872.094727	-49.604340
882.861328	-58.814407
893.627930	-64.005981
904.394531	-66.638390
915.161133	-68.495911
925.927734	-70.711113
936.694336	-72.080917
947.460938	-75.634529
958.227539	-78.697243
968.994141	-78.355141
979.760742	-76.241951
990.527344	-73.599350
1001.293945	-74.147560
1012.060547	-75.812805
1022.827148	-77.738724
1033.593750	-79.895630
1044.360352	-82.803101
1055.126953	-83.484230
1065.893555	-81.921547
1076.660156	-81.904610
1087.426758	-82.944931
1098.193359	-82.007187
1108.959961	-81.734596
1119.726562	-81.646378
1130.493164	-82.204750
1141.259766	-84.116051
1152.026367	-84.171158
1162.792969	-82.361893
1173.559570	-82.009636
1184.326172	-83.430489
1195.092773	-86.386620
1205.859375	-85.901459
1216.625977	-84.656311
1227.392578	-82.550865
1238.159180	-79.428146
1248.925781	-77.148949
1259.692383	-76.799294
1270.458984	-77.556328
1281.225586	-79.545494
1291.992188	-82.754326
1302.758789	-84.019318
1313.525391	-80.917641
1324.291992	-78.870018
1335.058594	-80.159721
1345.825195	-82.522903
1356.591797	-82.103958
1367.358398	-83.426178
1378.125000	-84.691917
1388.891602	-84.059914
1399.658203	-85.185684
1410.424805	-87.910713
1421.191406	-88.568710
1431.958008	-88.014923
1442.724609	-86.625496
1453.491211	-84.818039
1464.257812	-81.942398
1475.024414	-78.591232
1485.791016	-76.745094
1496.557617	-77.447861
1507.324219	-80.508209
1518.090820	-82.971802
1528.857422	-84.662552
1539.624023	-84.567909
1550.390625	-84.653961
1561.157227	-85.919701
1571.923828	-85.773621
1582.690430	-86.414925
1593.457031	-86.942978
1604.223633	-84.086624
1614.990234	-82.869034
1625.756836	-82.771797
1636.523438	-81.179367
1647.290039	-76.195206
1658.056641	-73.449944
1668.823242	-73.129402
1679.589844	-75.525421
1690.356445	-75.637421
1701.123047	-77.429482
1711.889648	-78.237480
1722.656250	-78.800285
1733.422852	-79.711655
1744.189453	-80.103577
1754.956055	-80.001450
1765.722656	-80.124008
1776.489258	-80.043503
1787.255859	-83.386772
1798.022461	-85.429146
1808.789062	-84.186371
1819.555664	-83.928299
1830.322266	-84.274513
1841.088867	-83.497536
1851.855469	-84.505104
1862.622070	-86.180359
1873.388672	-85.828987
1884.155273	-83.302147
1894.921875	-83.205933
1905.688477	-84.743073
1916.455078	-84.133926
1927.221680	-82.017418
1937.988281	-80.822769
1948.754883	-79.299767
1959.521484	-78.595680
1970.288086	-78.643494
1981.054688	-77.178619
1991.821289	-76.065437
2002.587891	-77.640671
2013.354492	-79.919510
2024.121094	-79.883408
2034.887695	-81.526169
2045.654297	-84.221199
2056.420898	-85.863472
2067.187500	-86.917519
2077.954102	-84.177048
2088.720703	-83.395744
2099.487305	-83.888626
2110.253906	-85.012115
2121.020508	-85.227371
2131.787109	-85.680542
2142.553711	-85.032654
2153.320312	-85.874947
2164.086914	-85.085579
2174.853516	-86.168549
2185.620117	-87.202347
2196.386719	-85.901695
2207.153320	-84.910309
2217.919922	-82.868538
2228.686523	-82.316353
2239.453125	-84.987877
2250.219727	-85.326447
2260.986328	-85.640465
2271.752930	-86.004189
2282.519531	-85.407715
2293.286133	-84.023468
2304.052734	-82.653770
2314.819336	-82.740402
2325.585938	-82.868805
2336.352539	-83.714371
2347.119141	-85.179413
2357.885742	-86.726784
